id,pmt_id,board_id,channel_id,measurement_time,run_id,run_type,run_tag,hv,temperature,spe_gain,dark_count_rate,after_pulse_probability,notes,energy_resolution
1,LV2319,0,9,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,16.19,,,,
2,LV2364,0,10,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,16.77,,,,
3,LV2391,0,11,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,17.21,,,,
4,LV2332,0,12,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,16.92,,,,
5,LV2380,0,13,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,19.75,,,,
6,LV2387,0,14,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,17.37,,,,
7,LV2389,0,15,"2026-06-04 14:39:52",00170,run6_Xe,"LED Calibration",850.0,172.55,18.49,,,,
8,LV2319,0,9,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,9.4,,,,
9,LV2364,0,10,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,9.53,,,,
10,LV2391,0,11,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,10.3,,,,
11,LV2332,0,12,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,9.67,,,,
12,LV2380,0,13,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,11.1,,,,
13,LV2387,0,14,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,10.3,,,,
14,LV2389,0,15,"2026-06-04 13:44:00",00169,run6_Xe,"LED Calibration",800.0,172.55,11.14,,,,
15,LV2319,0,9,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.0,,,,
16,LV2364,0,10,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.0,,,,
17,LV2391,0,11,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.49,,,,
18,LV2332,0,12,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.0,,,,
19,LV2380,0,13,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.97,,,,
20,LV2387,0,14,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,5.13,,,,
21,LV2389,0,15,"2026-06-04 14:57:19",00171,run6_Xe,"LED Calibration",750.0,172.55,6.05,,,,
22,LV2319,0,9,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,1.37,,,,
23,LV2364,0,10,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,1.46,,,,
24,LV2391,0,11,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,1.84,,,,
25,LV2332,0,12,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,1.09,,,,
26,LV2380,0,13,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,2.73,,,,
27,LV2387,0,14,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,1.38,,,,
28,LV2389,0,15,"2026-06-04 15:05:36",00172,run6_Xe,"LED Calibration",700.0,172.55,2.06,,,,
29,LV2319,0,9,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,3.9,,,,
30,LV2364,0,10,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,3.4,,,,
31,LV2391,0,11,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,4.28,,,,
32,LV2332,0,12,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,3.49,,,,
33,LV2380,0,13,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,4.53,,,,
34,LV2387,0,14,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,4.45,,,,
35,LV2389,0,15,"2026-06-04 21:25:32",00174,run6_Xe,"LED Calibration",730.0,172.55,4.73,,,,
36,LV2319,0,9,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,7.13,,,,
37,LV2364,0,10,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,6.93,,,,
38,LV2391,0,11,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,7.87,,,,
39,LV2332,0,12,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,7.19,,,,
40,LV2380,0,13,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,7.93,,,,
41,LV2387,0,14,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,8.12,,,,
42,LV2389,0,15,"2026-06-04 21:36:16",00175,run6_Xe,"LED Calibration",780.0,172.55,8.76,,,,
43,LV2319,0,9,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,13.24,,,,
44,LV2364,0,10,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,13.46,,,,
45,LV2391,0,11,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,14.08,,,,
46,LV2332,0,12,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,13.49,,,,
47,LV2380,0,13,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,15.75,,,,
48,LV2387,0,14,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,14.27,,,,
49,LV2389,0,15,"2026-06-04 21:52:06",00176,run6_Xe,"LED Calibration",830.0,172.55,15.2,,,,
50,LV2319,0,9,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,21.13,,,,
51,LV2364,0,10,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,21.59,,,,
52,LV2391,0,11,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,22.15,,,,
53,LV2332,0,12,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,21.63,,,,
54,LV2380,0,13,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,25.64,,,,
55,LV2387,0,14,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,22.58,,,,
56,LV2389,0,15,"2026-06-04 22:02:24",00177,run6_Xe,"LED Calibration",880.0,172.55,24.35,,,,
57,LV2389,0,15,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",783.08,172.55,9.27,,,,
58,LV2387,0,14,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",790.58,172.55,9.39,,,,
59,LV2380,0,13,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",784.4,172.55,9.25,,,,
60,LV2332,0,12,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",797.54,172.55,9.37,,,,
61,LV2391,0,11,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",790.48,172.55,9.19,,,,
62,LV2364,0,10,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",798.35,172.55,9.18,,,,
63,LV2319,0,9,"2026-06-05 11:04:13",00179,run6_Xe,"LED Calibration",797.53,172.55,9.28,,,,
64,LV2234,0,0,"2026-07-17 12:14:16",00292,,,,,,464.207275505032,,,
65,LV2232,0,1,"2026-07-17 12:14:16",00292,,,,,,12420.3384359035,,,
66,LV2425,0,2,"2026-07-17 12:14:16",00292,,,,,,18.0125729791971,,,
67,LV2426,0,3,"2026-07-17 12:14:16",00292,,,,,,150.190959386352,,,
68,LV2268,0,4,"2026-07-17 12:14:16",00292,,,,,,727.667728898367,,,
69,LV2390,0,5,"2026-07-17 12:14:16",00292,,,,,,237.030521749218,,,
70,LV2229,0,6,"2026-07-17 12:14:16",00292,,,,,,59.3811616395542,,,
71,LV2234,0,0,"2026-07-17 12:16:46",00293,,,,,,379.561160232083,,,
72,LV2232,0,1,"2026-07-17 12:16:46",00293,,,,,,13267.9453371607,,,
73,LV2425,0,2,"2026-07-17 12:16:46",00293,,,,,,802.933031506749,,,
74,LV2426,0,3,"2026-07-17 12:16:46",00293,,,,,,110.071786451885,,,
75,LV2268,0,4,"2026-07-17 12:16:46",00293,,,,,,5425.02138077934,,,
76,LV2390,0,5,"2026-07-17 12:16:46",00293,,,,,,395.01641106895,,,
77,LV2229,0,6,"2026-07-17 12:16:46",00293,,,,,,306.846646750922,,,
78,LV2234,0,0,"2026-07-17 14:13:16",00294,,,,,,378.857810545689,,,
79,LV2232,0,1,"2026-07-17 14:13:16",00294,,,,,,13348.3398013131,,,
